 * Epoch 320: time=2.42s, test_loss=0.310, train_loss=0.310
 * Epoch 321: time=2.41s, test_loss=0.310, train_loss=0.310
 * Epoch 322: time=2.32s, test_loss=0.314, train_loss=0.314
 * Epoch 323: time=2.39s, test_loss=0.309, train_loss=0.309
 * Epoch 324: time=2.40s, test_loss=0.299, train_loss=0.299
 * Epoch 325: time=2.47s, test_loss=0.318, train_loss=0.318
 * Epoch 326: time=2.39s, test_loss=0.315, train_loss=0.315
 * Epoch 327: time=2.41s, test_loss=0.335, train_loss=0.335
 * Epoch 328: time=2.44s, test_loss=0.316, train_loss=0.316
 * Epoch 329: time=2.41s, test_loss=0.317, train_loss=0.317
 * Epoch 330: time=2.40s, test_loss=0.313, train_loss=0.313
 * Epoch 331: time=2.42s, test_loss=0.348, train_loss=0.348
 * Epoch 332: time=2.41s, test_loss=0.318, train_loss=0.318
 * Epoch 333: time=2.47s, test_loss=0.335, train_loss=0.335
 * Epoch 334: time=2.45s, test_loss=0.331, train_loss=0.331
 * Epoch 335: time=2.38s, test_loss=0.330, train_loss=0.330
 * Epoch 336: time=2.32s, test_loss=0.319, train_loss=0.319
 * Epoch 337: time=2.41s, test_loss=0.336, train_loss=0.336
 * Epoch 338: time=2.47s, test_loss=0.316, train_loss=0.316
 * Epoch 339: time=2.44s, test_loss=0.335, train_loss=0.335
 * Epoch 340: time=2.44s, test_loss=0.317, train_loss=0.317
 * Epoch 341: time=2.42s, test_loss=0.351, train_loss=0.351
 * Epoch 342: time=2.42s, test_loss=0.318, train_loss=0.318
 * Epoch 343: time=2.47s, test_loss=0.322, train_loss=0.322
 * Epoch 344: time=2.39s, test_loss=0.330, train_loss=0.330
 * Epoch 345: time=2.46s, test_loss=0.313, train_loss=0.313
 * Epoch 346: time=2.48s, test_loss=0.343, train_loss=0.343
 * Epoch 347: time=2.45s, test_loss=0.327, train_loss=0.327
 * Epoch 348: time=2.41s, test_loss=0.314, train_loss=0.314
 * Epoch 349: time=2.45s, test_loss=0.316, train_loss=0.316
 * Epoch 350: time=2.53s, test_loss=0.310, train_loss=0.310
 * Epoch 351: time=2.43s, test_loss=0.322, train_loss=0.322
 * Epoch 352: time=2.32s, test_loss=0.331, train_loss=0.331
 * Epoch 353: time=2.47s, test_loss=0.321, train_loss=0.321
 * Epoch 354: time=2.50s, test_loss=0.324, train_loss=0.324
 * Epoch 355: time=2.46s, test_loss=0.315, train_loss=0.315
 * Epoch 356: time=2.42s, test_loss=0.328, train_loss=0.328
 * Epoch 357: time=2.41s, test_loss=0.347, train_loss=0.347
 * Epoch 358: time=2.40s, test_loss=0.347, train_loss=0.347
 * Epoch 359: time=2.40s, test_loss=0.326, train_loss=0.326
 * Epoch 360: time=2.39s, test_loss=0.327, train_loss=0.327
 * Epoch 361: time=2.49s, test_loss=0.343, train_loss=0.343
 * Epoch 362: time=2.42s, test_loss=0.332, train_loss=0.332
 * Epoch 363: time=2.48s, test_loss=0.334, train_loss=0.334
 * Epoch 364: time=2.40s, test_loss=0.329, train_loss=0.329
 * Epoch 365: time=2.49s, test_loss=0.331, train_loss=0.331
 * Epoch 366: time=2.40s, test_loss=0.332, train_loss=0.332
 * Epoch 367: time=2.41s, test_loss=0.343, train_loss=0.343
 * Epoch 368: time=2.42s, test_loss=0.339, train_loss=0.339
 * Epoch 369: time=2.37s, test_loss=0.330, train_loss=0.330
 * Epoch 370: time=2.49s, test_loss=0.321, train_loss=0.321
 * Epoch 371: time=2.36s, test_loss=0.325, train_loss=0.325
 * Epoch 372: time=2.51s, test_loss=0.330, train_loss=0.330
 * Epoch 373: time=2.35s, test_loss=0.327, train_loss=0.327
 * Epoch 374: time=2.45s, test_loss=0.339, train_loss=0.339
 * Epoch 375: time=2.43s, test_loss=0.328, train_loss=0.328
 * Epoch 376: time=2.43s, test_loss=0.319, train_loss=0.319
 * Epoch 377: time=2.34s, test_loss=0.331, train_loss=0.331
 * Epoch 378: time=2.39s, test_loss=0.333, train_loss=0.333
 * Epoch 379: time=2.41s, test_loss=0.331, train_loss=0.331
 * Epoch 380: time=2.39s, test_loss=0.344, train_loss=0.344
 * Epoch 381: time=2.37s, test_loss=0.338, train_loss=0.338
 * Epoch 382: time=2.41s, test_loss=0.333, train_loss=0.333
 * Epoch 383: time=2.39s, test_loss=0.347, train_loss=0.347
 * Epoch 384: time=2.37s, test_loss=0.353, train_loss=0.353
 * Epoch 385: time=2.37s, test_loss=0.326, train_loss=0.326
 * Epoch 386: time=2.38s, test_loss=0.363, train_loss=0.363
 * Epoch 387: time=2.45s, test_loss=0.348, train_loss=0.348
 * Epoch 388: time=2.39s, test_loss=0.329, train_loss=0.329
 * Epoch 389: time=2.49s, test_loss=0.332, train_loss=0.332
 * Epoch 390: time=2.52s, test_loss=0.342, train_loss=0.342
 * Epoch 391: time=2.43s, test_loss=0.335, train_loss=0.335
 * Epoch 392: time=2.41s, test_loss=0.336, train_loss=0.336
 * Epoch 393: time=2.43s, test_loss=0.330, train_loss=0.330
 * Epoch 394: time=2.42s, test_loss=0.337, train_loss=0.337
 * Epoch 395: time=2.44s, test_loss=0.331, train_loss=0.331
 * Epoch 396: time=2.45s, test_loss=0.356, train_loss=0.356
 * Epoch 397: time=2.46s, test_loss=0.319, train_loss=0.319
 * Epoch 398: time=2.49s, test_loss=0.332, train_loss=0.332
 * Epoch 399: time=2.46s, test_loss=0.347, train_loss=0.347
 * Epoch 400: time=2.43s, test_loss=0.341, train_loss=0.341
 * Epoch 401: time=2.41s, test_loss=0.348, train_loss=0.348
 * Epoch 402: time=2.42s, test_loss=0.346, train_loss=0.346
 * Epoch 403: time=2.40s, test_loss=0.343, train_loss=0.343
 * Epoch 404: time=2.60s, test_loss=0.353, train_loss=0.353
 * Epoch 405: time=2.42s, test_loss=0.344, train_loss=0.344
 * Epoch 406: time=2.46s, test_loss=0.348, train_loss=0.348
 * Epoch 407: time=2.47s, test_loss=0.340, train_loss=0.340
 * Epoch 408: time=2.43s, test_loss=0.353, train_loss=0.353
 * Epoch 409: time=2.44s, test_loss=0.333, train_loss=0.333
 * Epoch 410: time=2.46s, test_loss=0.340, train_loss=0.340
